Id,Dam,Sire,Sex,Birth
31204,16342,16645,Male,2011-04-22
31310,16640,16653,Male,2011-06-14
31357,28299,17629,Male,2011-08-02
32047,18983,16657,Male,2012-08-15
33966,34277,34276,Female,2013-04-15
33967,34275,34276,Female,2013-04-16
33970,34264,34266,Female,2013-05-16
33971,33945,33943,Female,2013-05-18
33977,33957,35642,Female,2013-06-08
33983,33959,35642,Female,2013-07-02
33985,33949,33951,Female,2013-07-06
33987,33956,35642,Female,2013-07-17
33990,33914,33919,Female,2013-07-28
33992,33932,33938,Female,2013-08-06
33993,33924,33938,Female,2013-08-11
33995,33930,33926,Female,2013-08-24
33996,33948,33951,Female,2013-08-29
34001,33921,33918,Female,2013-10-16
34003,33940,33943,Female,2013-11-02
34004,33939,33943,Female,2013-11-07
34005,33947,33918,Female,2013-11-10
34008,33934,33938,Female,2013-11-30
34009,33935,33938,Female,2013-12-02
34302,34267,34274,Female,2013-06-15
34303,34248,34249,Female,2013-06-25
34307,34246,34250,Female,2013-07-06
34311,34235,34228,Female,2013-07-28
34312,34242,34249,Female,2013-08-03
34313,34231,34229,Female,2013-08-07
34319,35506,35620,Female,2013-09-07
34321,34243,34250,Female,2013-10-06
